fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
61.49911816090897,59.55904257104232,59.55904257104232,60.26010575793785,58.3200301680712,58.3200301680712,60.09207190034702,58.15199631048037,58.15199631048037
59.240585202810706,58.216541610089486,57.67575118496107,57.06133688155779,56.03729328883657,55.49650286370816,57.09183399519945,56.06779040247823,55.52699997734982
61.51480042171018,0,0,62.554391761991525,0,0,61.43560537618561,0,0
58.515351532746934,60.154858730206,0,0,0,0,58.60840080541158,60.247908002870645,0
59.46620636868068,0,58.13129198605865,62.37860606129687,0,61.04369167867484,0,0,0
63.61124757447612,0,0,66.09126628703,0,0,67.04711760709169,0,0
0,0,0,0,0,0,0,0,0
59.3845795064166,58.9177286974192,58.9177286974192,57.91925769425549,57.45240688525809,57.45240688525809,58.81123076492525,58.34437995592785,58.34437995592785
60.66159306366646,61.30636467246563,61.30636467246563,59.243088556845954,59.88786016564512,59.88786016564512,59.58671102293441,60.23148263173358,60.23148263173358
0,0,0,0,0,0,0,0,0
60.69976440010337,0,0,0,0,0,0,0,0
59.55081797791825,59.276148267596575,59.276148267596575,58.43262501460608,58.15795530428441,58.15795530428441,60.086454044490786,59.81178433416911,59.81178433416911
63.5181727602044,61.94421781447093,61.94421781447093,62.88832949246373,61.314374546730264,61.314374546730264,0,0,0
60.01149628910206,0,60.298316774992394,0,0,0,58.07662025754744,0,58.36344074343777
63.18951060197563,62.401723502488295,62.401723502488295,60.25493546697568,59.46714836748835,59.46714836748835,60.25493546697568,59.46714836748835,59.46714836748835
57.98826096175751,58.68004001446184,0,57.294947863503005,57.98672691620733,0,58.91330590330827,59.6050849560126,0
63.516911395563156,61.34138974759898,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
59.13887953988866,58.188771411777424,58.188771411777424,0,0,0,56.28737703230918,55.33726890419794,55.33726890419794
60.43572859579104,59.27214002514163,58.59958552026595,0,0,0,0,0,0
63.19792840252455,59.34966215629643,61.23898945033519,61.68838961242116,57.840123366193055,59.729450660231805,61.68838961242116,57.840123366193055,59.729450660231805
60.50184892463984,0,0,59.399038253302166,0,0,59.99570279268369,0,0
60.366494013351044,0,0,0,0,0,0,0,0
61.14746130855464,0,59.797367142713725,0,0,0,61.362698782231675,0,60.01260461639076
62.18519758601634,59.23504756623245,59.60468995061334,62.53239243669424,59.58224241691035,59.951884801291236,61.81152144048292,58.86137142069903,59.23101380507992
63.76232895644098,63.198985098997206,63.198985098997206,59.830083906680244,59.26674004923647,59.26674004923647,59.830083906680244,59.26674004923647,59.26674004923647
61.83599687822052,63.19475447271823,61.56454344991906,62.41383117532214,63.77258876981985,62.142377747020674,62.41383117532214,63.77258876981985,62.142377747020674
51.38757914147117,0,53.38326283703845,58.11068825876504,0,60.10637195433232,56.65895889164889,0,58.65464258721617
59.19470732505407,59.17569478748298,59.06289360614482,58.48370398819543,58.46469145062434,58.35189026928618,58.48370398819543,58.46469145062434,58.35189026928618
64.87836110428887,64.28567880334995,64.04418579656252,64.63707168357826,64.04438938263934,63.8028963758519,64.55239918964327,63.95971688870435,63.71822388191691
0,0,0,0,0,0,0,0,0
57.84516557413451,59.74671723649318,56.974686454401834,58.59830476593875,60.49985642829742,57.72782564620607,58.59830476593875,60.49985642829742,57.72782564620607
