fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
440,5026,6984,7394,3185,3621,3712,True
2268,7630,9215,11483,4950,5432,6123,True
4428,11884,13347,17395,7926,8338,9479,True
3544,7647,8757,14929,5019,6129,8251,True
2833,12126,17876,25749,6063,8583,6439,True
1109,4076,6412,10399,2616,4236,5349,True
1310,5532,7388,9539,3624,4473,5097,True
3743,6350,6350,8957,3743,3743,3743,True
0,0,0,0,0,0,0,True
599,1636,2254,3581,965,1329,1255,True
3256,12997,19307,28779,8025,11700,13791,True
1515,6620,8415,9930,3310,3310,3310,True
2738,8707,12218,18558,5807,8092,10556,True
3520,10569,13348,18640,7115,8715,10068,True
4196,7004,9025,16870,4196,6217,7212,True
0,0,0,0,0,0,0,True
1316,4090,5683,8515,2536,3551,3827,True
0,0,0,0,0,0,0,True
2195,6160,8585,13896,3880,5688,5764,True
4503,13157,17308,26185,8756,11674,14343,True
2627,4904,8394,18571,3252,6742,10209,True
3769,14276,18213,23527,9115,10617,11033,True
0,0,0,0,0,0,0,True
2625,12337,18743,28455,7352,10555,7352,True
585,4486,10355,19619,3028,7809,11043,True
2005,5500,7226,10721,3250,4113,3250,True
1036,4490,7061,10858,2789,4394,4190,True
3367,9530,12333,18473,5822,7529,8858,True
2846,9260,13946,22484,6008,9295,8555,True
1101,2260,3419,6506,1496,2655,3450,True
1,2,1581,5417,1,1580,2257,True
3918,11542,15111,21637,6848,8409,6848,True
1056,3578,5292,8295,2246,3399,4145,True
1357,5194,7370,10571,3439,4738,5737,True
1291,6147,8365,10633,3966,4903,5463,True
3490,16934,24229,32590,11156,15109,13823,True
643,3490,5660,8708,2252,3597,4448,True
776,2463,2924,3673,1549,1662,1845,True
4007,6579,6579,10810,4007,4007,5666,True
3115,5282,6490,13055,3115,4323,6305,True
3383,11456,15356,21779,7110,9199,10809,True
1141,5498,7819,10046,3467,4526,4451,True
544,3042,4011,4778,2028,2348,2514,True
418,1890,3395,5656,1166,2309,2816,True
0,0,0,0,0,0,0,True
760,7180,10783,13804,4625,6271,6560,True
2424,9226,12642,17509,5807,7594,8847,True
2668,5336,8334,16998,2668,5666,5666,True
1195,3701,5778,9576,2376,3921,4530,True
2055,6441,8819,13209,4142,5646,6859,True
2531,8160,10923,15842,5531,7336,8758,True
2780,8698,11570,16996,5447,7221,6206,True
5076,12511,17118,28455,7853,11356,11878,True
