fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
0,0,0,0,0,0,0,0,0
58.41766661665551,58.79343753815953,59.43994135020653,56.602784085914834,56.978555007418855,57.625058819465856,59.66298859452668,60.0387595160307,60.6852633280777
0,0,0,0,0,0,0,0,0
58.70273366719622,59.93315478286035,57.939312955082755,0,0,0,58.69835367015189,59.92877478581602,57.934932958038424
62.29500692764603,0,0,61.93710021828902,0,0,62.57988668971814,0,0
59.069827639527695,58.59454625891938,58.59454625891938,58.194599514122835,57.71931813351452,57.71931813351452,58.194599514122835,57.71931813351452,57.71931813351452
62.480126001812714,62.979752179270406,62.979752179270406,60.71551174459969,61.21513792205738,61.21513792205738,60.71551174459969,61.21513792205738,61.21513792205738
61.953247391307364,60.18293231739051,59.631716439368525,62.759529920463585,60.98921484654673,60.437998968524745,0,0,0
59.21872137251319,57.08478950119011,60.37297012741436,58.82126518062878,56.6873333093057,59.97551393552995,0,0,0
61.202044513273144,59.327376959133794,59.327376959133794,62.16905668668378,60.29438913254443,60.29438913254443,60.9465977824198,59.07193022828045,59.07193022828045
64.22364470185995,63.47780614582474,61.67988676378579,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
60.34265120139348,60.0477860476015,60.0477860476015,58.170029346881975,57.875164193089994,57.875164193089994,57.985620823171516,57.690755669379534,57.690755669379534
61.520722379961924,60.329206209977386,0,62.9528755005276,61.761359330543065,0,62.9528755005276,61.761359330543065,0
58.614036117597465,63.31432205812007,0,56.01483227631081,60.71511821683342,0,57.53951976860243,62.23980570912504,0
61.80973065276458,62.758273761236346,61.854298231018355,58.85758407138835,59.80612717986012,58.90215164964213,58.85758407138835,59.80612717986012,58.90215164964213
0,0,0,0,0,0,0,0,0
59.02323389588612,59.92648461929156,0,58.218049480380564,59.12130020378599,0,58.476513697555006,59.37976442096044,0
0,0,0,0,0,0,0,0,0
61.694654976312606,60.850528120594596,59.98138400944195,62.29775870290815,61.45363184719014,60.584487736037495,61.636426037565535,60.792299181847525,59.92315507069488
