fixed_count,version3_count,version4_count,is_equal
3438,13719,6705,True
2282,14412,7918,True
663,4905,1991,True
2397,17164,8864,True
3786,30528,9939,True
2142,16756,8526,True
1816,10156,4143,True
3102,28056,9979,True
1805,5507,2671,True
2559,14447,7861,True
1016,6105,2132,True
1518,22116,8388,True
2008,10733,4759,True
2109,6186,3242,True
3890,16117,6110,True
2487,17636,8382,True
951,13087,3844,True
2265,12983,6171,True
2184,10704,4840,True
3772,18652,9340,True
818,10136,5048,True
866,7108,3382,True
1091,8619,3114,True
1410,4106,2082,True
2242,11380,6082,True
2337,23935,10636,True
3535,23097,13123,True
2125,9536,5244,True
0,8776,4698,True
1719,13197,4996,True
4173,21047,10999,True
8985,35921,16616,True
3055,13629,4969,True
1396,13909,5581,True
2940,14446,4519,True
2633,6331,2633,True
4373,17451,8829,True
1684,17660,6821,True
3371,23265,7405,True
1300,3758,1994,True
6489,51511,20903,True
1629,16128,6616,True
1070,8235,2745,True
6250,14356,6250,True
1326,14562,7872,True
3735,17769,7394,True
2329,17773,8673,True
816,8943,4709,True
1266,11397,4822,True
2857,13836,5443,True
2978,22125,11748,True
2388,7164,3670,True
566,5740,3069,True
3548,10180,4240,True
2949,17402,9602,True
4807,28291,12389,True
1956,16159,8389,True
822,2538,1324,True
1940,6969,3275,True
0,0,0,True
3299,27638,13870,True
2739,21473,11897,True
1224,7381,3599,True
2226,15408,7558,True
958,4194,1547,True
1220,10722,3574,True
2579,16814,7470,True
5719,24495,8667,True
2650,14852,4845,True
4708,12868,6492,True
2271,20307,7880,True
2231,10569,5001,True
2198,9154,4638,True
4057,35988,14510,True
0,0,0,True
682,5925,1430,True
430,3126,1290,True
1612,8783,3270,True
2931,7462,3996,True
