fixed_count,version3_count,version4_count,is_equal
1000,6690,1846,True
2034,15727,6442,True
0,0,0,True
989,8559,3705,True
2645,11840,6364,True
2466,15147,5716,True
1800,20072,11090,True
0,0,0,True
2424,7272,2424,True
2176,12561,4187,True
805,2901,1305,True
2083,16601,7162,True
0,0,0,True
1425,20452,6710,True
447,4833,2489,True
808,7272,3736,True
1933,18933,6722,True
0,0,0,True
5483,22521,11089,True
1555,13918,6574,True
3412,19209,8059,True
1965,13496,6988,True
1737,14871,5550,True
1418,14944,7248,True
3789,26743,14289,True
0,0,0,True
0,0,0,True
2259,18154,9446,True
0,0,0,True
2166,7742,2800,True
2451,13650,5430,True
1631,14721,7775,True
2742,15466,7389,True
1913,17144,9434,True
1146,16490,7758,True
775,9911,5243,True
933,2786,1414,True
1074,9666,4862,True
3259,15984,8412,True
3065,14394,4798,True
606,5623,2337,True
6480,44763,20217,True
3800,16023,5341,True
751,8975,4883,True
0,0,0,True
1919,9965,4324,True
2127,12811,6373,True
1297,8508,4322,True
1240,10367,5485,True
0,0,0,True
457,6607,3329,True
730,7551,2666,True
3903,20352,7482,True
0,0,0,True
1107,2937,1559,True
2343,18396,10286,True
