version3_count,version4_count,is_equal
18083,9191,True
29866,15254,True
17345,9973,True
14920,7794,True
17364,8582,True
11997,6229,True
3666,1742,True
16015,6619,True
0,0,True
17302,8634,True
7999,4183,True
31718,17326,True
14765,6395,True
0,0,True
19032,9112,True
4469,1967,True
14076,3737,True
9171,4435,True
9103,4557,True
19026,5766,True
20280,7643,True
0,0,True
11298,5812,True
28305,9435,True
12448,6448,True
7626,2542,True
27013,14763,True
16809,8781,True
12591,4251,True
26530,14734,True
1977,903,True
55099,18319,True
0,0,True
14727,6447,True
7419,2473,True
95556,41145,True
16896,5632,True
8261,4043,True
20941,9115,True
28759,12613,True
0,0,True
25590,7932,True
22098,7366,True
17847,5096,True
54994,24941,True
31224,16784,True
20468,11100,True
35334,12615,True
37798,16448,True
13717,7319,True
16199,8441,True
13502,6470,True
18395,7301,True
47133,21826,True
25984,13826,True
4315,1893,True
9728,4436,True
14230,7290,True
17217,6741,True
19717,8189,True
5713,2933,True
21069,11647,True
13731,3983,True
58312,23602,True
30699,16433,True
42191,18651,True
18831,10129,True
16154,6285,True
26362,13014,True
25322,11805,True
34576,18648,True
22277,11261,True
9800,4880,True
6978,3630,True
23434,11122,True
13325,7225,True
8307,2769,True
17243,6656,True
0,0,True
0,0,True
15408,5136,True
17785,8713,True
25318,9625,True
5919,2433,True
19602,7930,True
31470,10490,True
24925,13075,True
4468,2106,True
37560,17986,True
39710,15286,True
14136,7224,True
18414,7238,True
30909,16593,True
41859,24725,True
10788,5876,True
21151,8692,True
11778,6782,True
12858,4286,True
33579,14871,True
20151,8824,True
23465,11875,True
9590,4636,True
17045,8056,True
21625,9007,True
8640,3682,True
0,0,True
0,0,True
10142,4762,True
7115,3445,True
18896,9428,True
21696,11944,True
39507,12523,True
17125,8843,True
0,0,True
885,397,True
23091,7697,True
42540,19766,True
13594,7098,True
10412,5944,True
16063,8269,True
14210,7784,True
9243,4949,True
14713,6777,True
35638,19304,True
37212,16256,True
25797,8898,True
30697,13945,True
13065,6477,True
16044,5611,True
19831,10469,True
9315,4809,True
23722,11508,True
11965,6103,True
27972,14060,True
18281,7392,True
13199,6447,True
46167,25697,True
45255,19369,True
5940,1980,True
63516,18757,True
19790,10876,True
18409,10079,True
23355,9808,True
29876,14297,True
37631,19453,True
25523,14637,True
11167,5765,True
22134,8244,True
3199,1633,True
34779,17441,True
9106,3112,True
27301,13855,True
6131,2698,True
14595,4865,True
7333,2647,True
0,0,True
20823,10893,True
17676,4957,True
23976,4865,True
8550,4124,True
4141,2057,True
1674,824,True
23001,12145,True
27210,14066,True
28457,15137,True
43008,17987,True
0,0,True
11612,5576,True
90478,40538,True
33982,12171,True
15302,6722,True
18765,8453,True
1452,666,True
23957,13577,True
18348,7518,True
0,0,True
20782,8246,True
10274,5642,True
6405,3241,True
26372,12821,True
25103,11895,True
27246,14892,True
18311,6872,True
20875,11083,True
35058,16125,True
21162,7054,True
11526,5622,True
14604,4291,True
15405,8163,True
34971,15914,True
16255,7620,True
19700,7536,True
41744,18678,True
27546,14124,True
19279,8427,True
4230,1816,True
26815,13855,True
0,0,True
19768,9712,True
7991,4085,True
12216,4072,True
16473,5491,True
26155,8025,True
4139,1953,True
4553,2187,True
